project_id,visual_group_id,set_id,file_id,region_index,filename
nls-chapbooks-illustrations,illustration-group,24,2931,0,"104186632/image/108910172.3.jpg"
nls-chapbooks-illustrations,illustration-group,25,2919,0,"104185849/image/108639669.3.jpg"
nls-chapbooks-illustrations,illustration-group,25,2948,0,"104184820/image/108832232.3.jpg"
nls-chapbooks-illustrations,illustration-group,26,1040,1,"104186367/image/108588177.3.jpg"
nls-chapbooks-illustrations,illustration-group,26,1752,0,"104186363/image/108588753.3.jpg"
nls-chapbooks-illustrations,illustration-group,26,2880,0,"104185178/image/108785924.3.jpg"
nls-chapbooks-illustrations,illustration-group,27,2853,0,"104186088/image/108622701.3.jpg"
nls-chapbooks-illustrations,illustration-group,27,2855,0,"104186088/image/108622749.3.jpg"
nls-chapbooks-illustrations,illustration-group,28,292,0,"104185049/image/108803240.3.jpg"
nls-chapbooks-illustrations,illustration-group,28,2548,0,"104185060/image/108800072.3.jpg"
nls-chapbooks-illustrations,illustration-group,28,2833,0,"104185733/image/117735103.3.jpg"
nls-chapbooks-illustrations,illustration-group,28,2914,0,"104185068/image/108797768.3.jpg"
nls-chapbooks-illustrations,illustration-group,29,2816,0,"104185613/image/108489067.3.jpg"
nls-chapbooks-illustrations,illustration-group,29,3226,0,"104185612/image/108489163.3.jpg"
nls-chapbooks-illustrations,illustration-group,30,2801,0,"104184465/image/117818086.3.jpg"
nls-chapbooks-illustrations,illustration-group,30,795,4,"104184466/image/117817990.3.jpg"
nls-chapbooks-illustrations,illustration-group,31,1453,0,"104185623/image/108488299.3.jpg"
nls-chapbooks-illustrations,illustration-group,31,2793,0,"104185228/image/108771344.3.jpg"
nls-chapbooks-illustrations,illustration-group,31,3466,0,"104185651/image/108646005.3.jpg"
nls-chapbooks-illustrations,illustration-group,31,3485,0,"104185740/image/117711713.3.jpg"
nls-chapbooks-illustrations,illustration-group,31,3598,0,"117874575/image/117874787.3.jpg"
nls-chapbooks-illustrations,illustration-group,32,2758,0,"104184160/image/107119799.3.jpg"
nls-chapbooks-illustrations,illustration-group,32,3059,0,"104184161/image/107119703.3.jpg"
nls-chapbooks-illustrations,illustration-group,33,232,0,"104185108/image/108793064.3.jpg"
nls-chapbooks-illustrations,illustration-group,33,362,0,"104185062/image/108799496.3.jpg"
nls-chapbooks-illustrations,illustration-group,33,449,0,"104185021/image/108811112.3.jpg"
nls-chapbooks-illustrations,illustration-group,33,600,0,"104185059/image/108800360.3.jpg"
nls-chapbooks-illustrations,illustration-group,33,1383,0,"104184959/image/108813512.3.jpg"
