file_id,filename,chapbook_id,place_printed,place_printed_nation,place_published,place_sold,publisher,printer,bookseller,date,volume,item,imprint,nls_digital_chapbook_page_id,assigned_date,assigned_printer,assigned_publisher,assigned_place_printed,assigned_place_published,assigned_place_sold
2085,104186000/image/108694256.3.jpg,104186000,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.D,L.C.2852.D(24),Printed for the booksellers,108694254,,,,,,
2086,104186241/image/108596757.3.jpg,104186241,Kilmarnock,Scotland,,,,,,[1815-1820?],L.C.2856,L.C.2856(26),Printed for the booksellers,108596755,,,,,,
2087,104184283/image/117721498.3.jpg,104184283,Dunfermline,Scotland,,,,"Miller, John, 1780-1852",,1828,L.C.2797,L.C.2797(5),Printed and sold by John Miller,117721496,,,,,,
2088,104184866/image/108658509.3.jpg,104184866,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,[1]810,L.C.2822,L.C.2822(3),Printed and sold by T. Johnston,108658507,,,,,,
2089,104184976/image/108512061.3.jpg,104184976,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,1815,L.C.2826,L.C.2826(12),Printed by T. Johnston,108512059,,,,,,
2090,104185970/image/108700976.3.jpg,104185970,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852,L.C.2852(8),Printed for the booksellers,108700974,,,,,,
2091,104186627/image/108911480.3.jpg,104186627,Stirling,Scotland,,,,,,[ca. 1810?],L.C.2868,L.C.2868(19),Printed this present year,108911478,,,,,,
2092,104186059/image/108961328.3.jpg,104186059,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.F,L.C.2852.F(27),Printed for the booksellers,108961326,,,,,,
2093,104185054/image/108801800.3.jpg,104185054,Falkirk,Scotland,,,,,,[1840-1860?],L.C.2828,L.C.2828(21),Printed for the booksellers,108801798,,,,,,
2094,104186221/image/108598869.3.jpg,104186221,Kilmarnock,Scotland,,,,"Crawford, Hugh, active 1805-1851",,1825,L.C.2855,L.C.2855(8),"Printed by H. Crawford, bookseller",108598867,,,,,,
2095,104186146/image/108609501.3.jpg,104186146,Greenock,Scotland,,,,"Scott, William (Printer and bookseller in Greenock)",,[1812-1820?],L.C.2853,L.C.2853(7),Printed by William Scott,108609499,,,,,,
2096,104186481/image/108580821.3.jpg,104186481,Stirling,Scotland,,,,,,1798,L.C.2864,L.C.2864(2),Entered according to order.,108580819,,,,,,
2097,104187053/image/108540321.3.jpg,104187053,,,,,,,,s.d],L.C.2889,L.C.2889(32),s.n.,108540319,,,,,,
2098,104187053/image/108540117.3.jpg,104187053,,,,,,,,s.d],L.C.2889,L.C.2889(32),s.n.,108540115,,,,,,
2099,104187053/image/108540297.3.jpg,104187053,,,,,,,,s.d],L.C.2889,L.C.2889(32),s.n.,108540295,,,,,,
2100,104187053/image/108540249.3.jpg,104187053,,,,,,,,s.d],L.C.2889,L.C.2889(32),s.n.,108540247,,,,,,
2101,104187053/image/108540141.3.jpg,104187053,,,,,,,,s.d],L.C.2889,L.C.2889(32),s.n.,108540139,,,,,,
2102,104187053/image/108540093.3.jpg,104187053,,,,,,,,s.d],L.C.2889,L.C.2889(32),s.n.,108540091,,,,,,
2103,104187053/image/108540237.3.jpg,104187053,,,,,,,,s.d],L.C.2889,L.C.2889(32),s.n.,108540235,,,,,,
2104,104185896/image/108707024.3.jpg,104185896,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2851,L.C.2851(17),Printed for the booksellers,108707022,,,,,,
2105,104186587/image/108917816.3.jpg,104186587,Stirling,Scotland,,,,"Macnie, William",,[1820-1830?],L.C.2883,L.C.2883(28),Printed W. Macnie,108917814,,,,,,
2106,104185241/image/108504669.3.jpg,104185241,Hatton of Fintray,Scotland,,,,,,1871,L.C.2830,L.C.2830(2),Printed for the booksellers,108504667,,,,,,
2107,104185050/image/108803228.3.jpg,104185050,Falkirk,Scotland,,,,,,[1840-1860?],L.C.2828,L.C.2828(18),Printed for the booksellers,108803226,,,,,,
2108,104185050/image/108802952.3.jpg,104185050,Falkirk,Scotland,,,,,,[1840-1860?],L.C.2828,L.C.2828(18),Printed for the booksellers,108802950,,,,,,
2109,104186875/image/108565389.3.jpg,104186875,Stirling,Scotland,,,,"Fraser, John, -1839",,[1816-1820?],L.C.2876.A,L.C.2876.A(4),"Printed for, and sold wholesale by, J. Fraser, printer, Stirling",108565387,,,,,,
2110,104186006/image/108693680.3.jpg,104186006,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.D,L.C.2852.D(4),Printed for the booksellers,108693678,,,,,,
2111,104184633/image/117860071.3.jpg,104184633,Edinburgh,Scotland,,,,,,[1815-1825?],L.C.2814,L.C.2814(40),Printed for the booksellers,117860069,,,,,,
2112,104185513/image/108738536.3.jpg,104185513,,,,,,,,[1815-1819?],L.C.2842,L.C.2842(14),"Published, and sold wholesale and retail, by R. Hutchison & Co. 10, Saltmarket",108738534,,,,,,
